Date;Projet;Description;Temps (en heure);Tache
2018-02-02;ODGRhone;Adaptation export groupe;1;Forfait
2018-02-02;ODGRhone;Log import DR;2;Forfait
2018-02-12;ODGRhone;mis a jour de l'export des DREV et des habilitation;2,5;Forfait
2018-02-13;ODGRhone;Export DR;2;Forfait
2018-02-14;ODGRhone;correction export des DREV DR;5,5;Forfait
2018-02-14;ODGRhone;Export DR;5;Forfait
2018-02-15;ODGRhone;retour sur les Exports;2,5;Forfait
2018-02-16;ODGRhone;Export DR;2,5;Forfait
2018-02-16;ODGRhone;Point telephonique;1;Forfait
2018-02-16;ODGRhone;Réunion téléphonique;2;Forfait
2018-02-26;ODGRhone;tri alphabetique des comptes;3;TMA
