Date;Projet;Description;Temps (en heure);Tache (pas obligatoire)
2016-07-01;AVA;Date dans la déclatation de tirage;1;TMA
2016-07-01;CIVA;Migration des comptes;1;Migration des comptes
2016-07-01;GIILDA;Debug facturation;1;Dév
2016-07-01;GIILDA;Merge avec le CIVA;2,5;Télédéclaration
2016-07-04;24ème;Temps de Juin;1;24ème
2016-07-04;Aurouze;Dév;1;Dév
2016-07-04;CIVA;Migration des comptes;5;Migration des comptes
2016-07-05;24ème;Facturation;2,5;24ème
2016-07-05;CIVA;Migration des comptes;3,5;Migration des comptes
2016-07-06;Aurouze;Recherche avancée, Pagination Facture, Forcer la génération d'une facture;7;Dév
2016-07-07;CIVA;Migration des comptes;6;Migration des comptes
2016-07-08;Aurouze;Recherche avancée, modification d'un passage, correction de bugs;7;Dév
2016-07-11;24ème;Note de frais;1,5;24ème
2016-07-11;Aurouze;Correction export compta;2,5;Dév
2016-07-11;CIVA;Migration des comptes;3;Migration des comptes
2016-07-11;CIVA;Mise à jour des tiers pour l'ouverture de la DS;0,5;TMA
2016-07-12;CIVA;Capture d'écran évolution DR VTSGN;2;TMA
2016-07-12;CIVA;Migration des comptes;2,5;Migration des comptes
2016-07-12;CIVA;Préparation de la DS Juillet 2016;3,5;TMA
2016-07-13;CIVA;Envoi des mails, import des lieux de stockage et Ouverture de la DS;2,5;TMA
2016-07-13;CIVA;Migration des comptes;3,5;Migration des comptes
2016-07-13;CIVA;Plugin Configuration et DRM dans le projet;3,5;DRM
2016-07-01;24eme;Organisation vacances;
2016-07-25;DeclarVins;Reunion Paris;7;TMA
2016-07-26;24eme;Organisation retour vacances + pacs;
2016-07-27;DeclarVins;Tickets 17596 17594 17604;6;TMA
2016-07-28;DeclarVins;Ticket 17645;5;TMA
2016-07-29;DeclarVins;Ticket 17645;3;TMA
2016-07-29;DeclarVins;EDIV2;2;TMA
2016-07-29;Aurouze;Dev;2;Forfait
2016-07-01;Giilda;Télédeclaration avec mutualisation fctlités civa ;7;Télédeclaration
2016-07-04;Giilda;Télédeclaration DRM vue et PDF ;7;Télédeclaration
2016-07-05;VINSI;Changement du PDF des Igp;3;Contrat IGP
2016-07-05;VINSI;Résolution de problèmes dans les revendiqués (format fichier);4;TMA
2016-07-06;Aurouze;exports génériques en popup;4;Export
2016-07-06;Giilda;Tache annuaire;2;Télédeclaration
2016-07-06;VINSI;Changement du PDF des Igp;1,5;Contrat IGP
2016-07-07;Aurouze;nouvel export pour commerciaux;5;Export
2016-07-07;Giilda;Mis à jour des mouvements avec Acq et Susp;2;Télédeclaration
2016-07-11;VINSI;Adaptation annexes douanes;3;DRM Douane
2016-07-12;Aurouze;Correction d'une export et point tél;1;Export
2016-07-12;VINSI;Ajout des statistiques Européenes;6;DRM Douane
2016-07-13;VINSI;Observations au niveau détail;7;DRM Douane
2016-07-18;24EME;Sauver Victoire;1;Victoire
2016-07-18;Giilda;Bug reprise DRM avec Acq et Susp;3;Télédeclaration
2016-07-18;VINSI;Coche dans la popup;3;DRM Douane
2016-07-19;Giilda;Déploiement Préprod IVBD;3;Télédeclaration
2016-07-19;Giilda;Inté pour les espaces d'accueil;3;Télédeclaration
2016-07-20;Giilda;générisisation des mails;3;Télédeclaration
2016-07-20;Giilda;Inté et picto;3;Télédeclaration
2016-07-20;VINSI;Téléphone Fanny Vrac IGP;1;Contrat IGP
2016-07-21;Giilda;Inté des mdp oublié, espace compte...;7;Télédeclaration
2016-07-22;Giilda;Adaptation Vrac pour courtier;4;Télédeclaration
2016-07-22;Giilda;Déploiement Préprod IVSO;3;Télédeclaration
2016-07-25;Giilda;Adaptation écran Soussignés;4;Télédeclaration
2016-07-25;VINSI;Gestion de coche transmission avec droit;3;DRM Douane
2016-07-26;Giilda;Reprise Js d'avant;1;Télédeclaration
2016-07-26;VINSI;Débug IGP en attendant les contrats;1,5;Contrat IGP
2016-07-27;Aurouze;Adaptation Exports avec évolutions;2;Export
2016-07-27;Aurouze;Factures libres avec Commerciaux;3,5;Facture
2016-07-27;Aurouze;Point avec les filles sur évol;2;Réunion
2016-07-28;Aurouze;Adaptation Exports avec Pdf et tout;4,5;Export
2016-07-29;24EME;Tsaisie emps;1;Temps
2016-07-29;Giilda;Mis à jour préprod IVSO et correction bugs;5;Télédeclaration
