Date;Projet;Description;Temps (en heure);Tache
2019-02-05;24eme;Grippe;;
2019-02-05;24eme;Malade;7;AM
2019-02-06;24eme;Grippe;;
2019-02-06;24eme;Malade;7;AM
2019-02-07;24eme;Grippe;;
2019-02-07;24eme;Malade;7;AM
2019-02-08;24eme;Grippe;;
2019-02-08;24eme;Malade;7;AM
2019-02-12;24eme;Facturation;;
2019-02-12;24eme;Facturation et temps;2;24eme
2019-02-12;24eme;tactical meeting;3;24eme
2019-02-13;24eme;RDV Eric Mairet;;
2019-02-13;24eme;Rencontre Eric Mairet;1;24eme
2019-02-21;24eme;RDV Eric Simon SCOP;;
2019-02-21;24eme;SCOP;2;24eme
2019-02-28;24eme;Amélioration report 24 et corrections mon activité;3,5;Prodimmo
