Projet;Tâche;Temps (en heure);Temps (en jours)
24ème;;14;2,0
24ème;Compta;5;0,7
24ème;Interne;9;1,3
24ème;TOTAL;28;4,0
Actualys;;1;0,1
Actualys;TOTAL;1;0,1
Aurouze;;4;0,6
Aurouze;TOTAL;4;0,6
AVA;Constats;19;2,7
AVA;Facturation;5;0,7
AVA;TMA;3;0,4
AVA;TOTAL;27;3,9
CIVA;TMA;11,5;1,6
CIVA;TOTAL;11,5;1,6
CKC;TMA;10,5;1,5
CKC;TOTAL;10,5;1,5
DeclarVins;TMA;83;11,9
DeclarVins;TOTAL;83;11,9
GIILDA;DRM;27;3,9
GIILDA;Facturation;65,5;9,4
GIILDA;Forfait;30;4,3
GIILDA;Général;4;0,6
GIILDA;Import;3,5;0,5
GIILDA;TOTAL;130;18,6
NM;Forfait;5;0,7
NM;TOTAL;5;0,7
Safo;;2;0,3
Safo;TOTAL;2;0,3
VINSI;Télédeclaration DRM;47,5;6,8
VINSI;TMA;10;1,4
VINSI;TOTAL;57,5;8,2
