Date;Projet;Description;Temps (en heure);Tache
2020-08-04;CIVA;Liste DR crémant;2;TMA
2020-08-05;CIVA;Import csv;0,5;TMA
2020-08-05;CIVA;Reset CRD;2;TMA
2020-08-07;CIVA;Maj TIER;1;TMA
2020-08-10;CIVA;Modif pdf retour à la ligne;0,5;TMA
2020-08-12;CIVA;Maj tier;0,5;TMA
2020-08-12;CIVA;Recup histo DR;0,5;TMA
2020-08-13;CIVA;Modif contrat;0,5;TMA
2020-08-19;CIVA;Affichage vrai CRD;1;TMA
2020-08-20;CIVA;Suppression DRM;0,5;TMA
2020-08-28;CIVA;tma ;5;TMA
2020-08-31;CIVA;Assistance / Demande;2,5;TMA
2020-08-31;CIVA;Direction technique;3,5;TMA DT
