Projet;Tâche;Temps (en heure);Temps (en jours)
24EME;;0;0,0
24EME;24EME;20,5;2,9
24EME;TOTAL;20,5;2,9
Admin Sys;Admin Sys;3,5;0,5
Admin Sys;TOTAL;3,5;0,5
Aurouze;TMA;3,5;0,5
Aurouze;TOTAL;3,5;0,5
AVA;TMA;3,5;0,5
AVA;TOTAL;3,5;0,5
BIVC;TMA;5;0,7
BIVC;TOTAL;5;0,7
CIVA;TMA;59;8,4
CIVA;TOTAL;59;8,4
CNIV;TMA;7;1,0
CNIV;TOTAL;7;1,0
DeclarVins;TMA;39;5,6
DeclarVins;TOTAL;39;5,6
Gillda;non facturable;2,5;0,4
Gillda;TOTAL;2,5;0,4
InterRhone;Forfait;75;10,7
InterRhone;TMA;15;2,1
InterRhone;TOTAL;90;12,9
IVBD;TMA;18;2,6
IVBD;TOTAL;18;2,6
IVSO;Non facturable;3;0,4
IVSO;TMA;15,5;2,2
IVSO;TOTAL;18,5;2,6
Mon activité;Mon activité;7;1,0
Mon activité;TOTAL;7;1,0
OdgProvence;TMA;4,5;0,6
OdgProvence;TOTAL;4,5;0,6
ODGRhone;DI;38,5;5,5
ODGRhone;TOTAL;38,5;5,5
VINSI;TMA;26,5;3,8
VINSI;TOTAL;26,5;3,8
TOTAL;TOTAL;49,5
