Client;Catégorie;Temps (en heure);Temps (en jours)
Aurouze;TMA;26;3,7
Aurouze;TOTAL;26;3,7
AVA;TMA;4;0,6
AVA;TOTAL;4;0,6
CentreLoire;TMA;7,5;1,1
CentreLoire;TOTAL;7,5;1,1
CIVA;TMA;14;2,0
CIVA;TOTAL;14;2,0
CIVP;TMA;3,5;0,5
CIVP;TOTAL;3,5;0,5
CNIV;TMA;3,5;0,5
CNIV;TOTAL;3,5;0,5
IGP;TMA;7;1,0
IGP;TOTAL;7;1,0
IR;TMA;10,5;1,5
IR;TOTAL;10,5;1,5
IVBD;TMA;5,5;0,8
IVBD;TOTAL;5,5;0,8
IVSE;TMA;7;1,0
IVSE;TOTAL;7;1,0
IVSO;Nutrivin;1;0,1
IVSO;NutriVin;198,5;28,4
IVSO;TMA;1,5;0,2
IVSO;TOTAL;201;28,7
Juricaf;TMA;3,5;0,5
Juricaf;TOTAL;3,5;0,5
ODGProvence;TMA;1,5;0,2
ODGProvence;TOTAL;1,5;0,2
Ventoux;Dev;14;2,0
Ventoux;Forfait;41;5,9
Ventoux;TOTAL;55;7,9
TOTAL;TOTAL;49,9
