Client;Catégorie;Temps (en heure);Temps (en jours)
ADM;Forfait;11,5;1,6
ADM;TOTAL;11,5;1,6
Aurouze;TMA;9,5;1,4
Aurouze;TOTAL;9,5;1,4
AVA;TMA;7;1,0
AVA;TOTAL;7;1,0
BIVC;TMA;10,5;1,5
BIVC;TOTAL;10,5;1,5
CentreLoire;TMA;3;0,4
CentreLoire;TOTAL;3;0,4
CIVA;TMA;6;0,9
CIVA;TOTAL;6;0,9
CIVP;CravatePDF;14;2,0
CIVP;TMA;10;1,4
CIVP;TOTAL;24;3,4
CNIV;TMA;10,5;1,5
CNIV;TOTAL;10,5;1,5
Gaillac;Forfait;58,5;8,4
Gaillac;TMA;3;0,4
Gaillac;TOTAL;61,5;8,8
IR;TMA;7;1,0
IR;TOTAL;7;1,0
IVBD;TMA;4,5;0,6
IVBD;TOTAL;4,5;0,6
IVSO;TMA;1;0,1
IVSO;TOTAL;1;0,1
Juricaf;TMA;14;2,0
Juricaf;TOTAL;14;2,0
NathanMode;Forfait;15;2,1
NathanMode;TOTAL;15;2,1
ODGProvence;Non facturable;23;3,3
ODGProvence;TMANonFacture;3,5;0,5
ODGProvence;TOTAL;26,5;3,8
ODGRhone;TMA;1,5;0,2
ODGRhone;TOTAL;1,5;0,2
Ventoux;TMA;2;0,3
Ventoux;TOTAL;2;0,3
VinsIGP;TMA;22;3,1
VinsIGP;TOTAL;22;3,1
TOTAL;TOTAL;33,9
