Date;Projet;Description;Temps (en heure);Tache
2018-04-09;Aurouze;Journee;7;TMA
2018-04-09;Aurouze; Mobile photo en bas 64 ;3;Forfait
2018-04-09;Aurouze;Point;1,5;TMA
2018-04-09;Aurouze; Reunion;2;Non facturable
2018-04-10;Aurouze; Mobile photo ;2,5;Forfait
2018-04-17;Aurouze; facture a deplacer;0,5;TMA
2018-04-18;Aurouze; ajout de produit et deplacement fact;3,5;TMA
2018-04-25;Aurouze; telephone;2;Forfait
2018-04-26;Aurouze; telephone;2;Forfait
2018-04-27;Aurouze; telephone;3;Forfait
2018-04-30;Aurouze; telephone;5;Forfait
