Date;Projet;Description;Temps (en heure);Tache
2020-05-05;ODGNantes;Maj des tests;2,5;TMA
2020-05-11;ODGNantes;aide et questions;2;Forfait
2020-05-13;ODGNantes;aide et questions;2;Forfait
2020-05-14;ODGNantes;debug Drev;1,5;Forfait
2020-05-14;ODGNantes;export paiements;2;Forfait
2020-05-18;ODGNantes;Drev et transfert;2,5;Forfait
2020-05-19;ODGNantes;exports de facture;2,5;Forfait
2020-05-28;ODGNantes;aide et questions focntionnement;5;Forfait
2020-05-29;ODGNantes;aide facturation;5;Forfait
2020-05-31;ODGNantes;Automatisation du transfert des documents entre loire et nantes;3,5;Forfait
