Projet;Tâche;Temps (en heure)
24eme;;9,5
24eme;Commercial;2
24eme;Gestion;5
24eme;Temps;1,5
24eme;TOTAL;18
AVA;Constats VTSGN;1,5
AVA;Dégustation;44
AVA;DRev;5,5
AVA;DRev & Parcellaire;9
AVA;Facturation;40
AVA;Parcellaires;1,5
AVA;TMA;8,5
AVA;TOTAL;110
Aymeric;Aymeric;5
Aymeric;TOTAL;5
CIVA;TMA;31
CIVA;TOTAL;31
CKC;TMA;10,5
CKC;TOTAL;10,5
DeclarVins;Forfait;16
DeclarVins;Garantie;1
DeclarVins;TMA;145,5
DeclarVins;TOTAL;162,5
GIILDA;Contrats;44,5
GIILDA;Forfait;70,5
GIILDA;TOTAL;115
VINSI;Télédeclaration DRM;275,5
VINSI;TMA VINSI;16,5
VINSI;TOTAL;292
