Date;Projet;Description;Temps (en heure);Tache (pas obligatoire)
2024-01-31;Aurouze;Problème saisie automatique;1,5;TMA
2024-01-31;Aurouze;Mise à jour code comptable en alpha;1,5;TMA
2024-01-31;ODGRhone;Ecart CVI Prodouane et base;1;TMA
2024-01-31;VinsIGP;Problème décalage facture pdf;1,5;TMA
2024-01-31;Aurouze;Problème de règlement avoir;2;TMA
2024-01-31;VinsIGP;TMA;14;TMA
2024-01-31;IR;TMA;3,5;TMA
2024-01-31;CentreLoire;TMA;7,5;Forfait
2024-01-31;CIVA;TMA + SV + réserve;27,5;TMA
2024-01-31;IVBD;TMA;1;TMA
2024-01-31;AVA;TMA;3,5;TMA
2024-01-31;BIVC;TMA;0,5;TMA
2024-01-31;ODGProvence;TMA Facturation + Generation;4;TMA
2024-01-31;Aurouze;TMA;3,5;TMA
2024-01-31;IVSO;TMA;1,5;TMA
2024-01-31;CIVP;TMA;4,5;TMA
2024-01-31;IVSE;TMA;1;TMA
2024-01-31;VinsIGP;TMA;7;TMA
2024-01-31;CentreLoire;TMA;7;Forfait
2024-01-31;CIVA;TMA;14;TMA
2024-01-31;CNIV;TMA;7;TMA
2024-01-31;Juricaf;TMA;28;TMA
2024-01-31;AVA;TMA;3,5;TMA
2024-01-31;ODGNantes;TMA;3,5;TMA
2024-01-31;CIVP;TMA;3,5;TMA
2024-01-31;DeclarVins;Hébergement;3,5;Hébergement
2024-01-31;CIVA;TMA;21;TMA
2024-01-31;AVA;TMA;7,0;TMA
2024-01-31;VinsIGP;TMA;14,0;TMA
2024-01-31;CentreLoire;TMA;14,0;Forfait
2024-01-31;Aurouze;TMA;10,5;TMA
2024-01-31;IGPLoire;Réunion;7,0;TMA
2024-01-31;CentreLoire;TMA;8;Forfait
2024-01-31;CIVA;TMA;1;TMA
2024-01-31;IR;Developpement Adelphe;10;Adelphe
2024-01-31;IR;Assistance / Demande;10,5;TMA
2024-01-31;CIVP;Assistance / Demande;10,5;TMA
2024-01-31;CIVA;Assistance / Demande;1;TMA
2024-01-31;CentreLoire;Assistance / Demande;3,5;Forfait
2024-01-31;Aurouze;Assistance / Demande;3,5;TMA
2024-01-31;IR;Developpement;38,5;Adelphe
2024-01-31;VinsIGP;Assistance / Demande;7;TMA
2024-01-31;IVSO;Assistance / Demande;2;TMA
2024-01-31;ODGProvence;Assistance / Demande;1;TMA
