Date;Projet;Description;Temps (en heure);Tâche (pas obligatoire)
2025-11-30;VinsIGP;TMA;7;TMA
2025-11-30;VinsIGP;TMA;7;TMA
2025-11-30;VinsIGP;TMA;3,5;TMA
2025-11-30;VinsIGP;Optimisation bsswitch;3,5;TMA
2025-11-30;Prodimmo;Metacompta;3,5;Prodimmo
2025-11-30;ORessource;Dev;17,5;Dev
2025-11-30;ORessource;Dev;15;Dev
2025-11-30;ORessource;Dev;10,5;Dev
2025-11-30;ODGRhone;TMA;3,5;TMA Manquant
2025-11-30;ODGRhone;TMA;3,5;TMA DRev
2025-11-30;ODGRhone;TMA;3,5;TMA DRev
2025-11-30;ODGRhone;TMA;1,0;TMA
2025-11-30;ODGRhone;TMA;0,5;TMA Parcellaire
2025-11-30;ODGRhone;Optimisation bsswitch;2,0;TMA
2025-11-30;ODGRhone;AdminSys;3,5;AdminSys
2025-11-30;ODGProvence;TMA;3,5;TMA
2025-11-30;ODGProvence;Sprint Controle;7;Controle
2025-11-30;ODGProvence;Reunion;2;Controle
2025-11-30;ODGProvence;Optimisation bsswitch;2,0;TMA
2025-11-30;ODGProvence;Facturation;3,5;TMA Facturation (d�cembre)
2025-11-30;ODGProvence;Controle;14;Controle
2025-11-30;ODGProvence;Controle;14,0;Controle
2025-11-30;ODGNantes;TMA;3,5;TMA
2025-11-30;NathanMode;Linup;10,5;Linup
2025-11-30;NathanMode;Finetuning;1,50;Linup
2025-11-30;NathanMode;FineTuning;10,5;Linup
2025-11-30;NathanMode;Finetuning;10,5;Linup
2025-11-30;NathanMode;D�veloppement;22;Linup
2025-11-30;NathanMode;Developpements;17,5;Linup
2025-11-30;Juricaf;TMA + r�union;3,5;TMA
2025-11-30;Juricaf;R�union;2;r�union
2025-11-30;IVSE;TMA VIP2C;3,5;TMA
2025-11-30;IVSE;Sprint + Reunion;0,5;TMA
2025-11-30;IVSE;Sprint DV + R�union;1;TMA
2025-11-30;IVSE;Assistance / Demande;2;TMA
2025-11-30;IVBD;TMA;1,5;TMA
2025-11-30;IR;TMA + R�union;3,5;TMA
2025-11-30;IR;TMA;1,5;TMA
2025-11-30;IR;Sprint DV + R�union;3,5;TMA
2025-11-30;IR;Sprint;2;TMA
2025-11-30;IR;Reunion;2;TMA
2025-11-30;IR;Assistance / Demande;10,5;TMA
2025-11-30;IGPSudOuest;TMA;3,5;TMA
2025-11-30;Gaillac;TMA;5;TMA
2025-11-30;Gaillac;Forfait;7;Forfait
2025-11-30;CIVP;TMA;2,0;TMA
2025-11-30;CIVP;Sprint + Reunion;1;TMA
2025-11-30;CIVP;Sprint DV + R�union;2,5;TMA
2025-11-30;CIVP;Assistance / Demande;3,5;TMA
2025-11-30;CIVA;TMA;4;TMA
2025-11-30;CIVA;TMA;3,5;TMA
2025-11-30;CIVA;TMA;3,5;TMA
2025-11-30;CIVA;Sprint import vrac;14;Contrat
2025-11-30;CIVA;D�placement r�union;7;Contrat
2025-11-30;CIVA;Contrat;24,5;Contrat
2025-11-30;CentreLoire;TMA;7;TMA
2025-11-30;CentreLoire;TMA;7,0;TMA
2025-11-30;CentreLoire;TMA;1,5;TMA
2025-11-30;CentreLoire;Optimisation bsswitch;3,5;TMA
2025-11-30;BIVC;TMA;7;TMA
2025-11-30;BIVC;TMA;3,5;TMA
2025-11-30;AVA;TMA;2;TMA
2025-11-30;AVA;TMA;1,0;TMA
2025-11-30;AVA;Optimisation bsswitch;3,5;TMA
2025-11-30;Aurouze;TMA;7,0;TMA
2025-11-30;Aurouze;TMA;0,5;TMA
2025-10-31;VinsIGP;VMQ;7,0;VMQ
2025-10-31;VinsIGP;TMA;7;TMA
2025-10-31;VinsIGP;TMA;12;TMA
2025-10-31;VinsIGP;TMA;10,5;TMA
2025-10-31;VinsIGP;ProdouaneVendange;10,5;ProdouaneVendange
2025-10-31;VinsIGP;DRInterloire;5,25;DRInterloire
2025-10-31;Ventoux;ProdouaneVendange;3,5;ProdouaneVendange
2025-10-31;prodouane;Douane Interloire;3,5;Mutualisation
2025-10-31;prodouane;APIsation de prodouane scrapy;14;Mutualisation
2025-10-31;prodouane;Adaptation nouvelle DR Vendange;31,5;Mutualisation
2025-10-31;Prodimmo;Metacompta;7;Prodimmo
2025-10-31;ORessource;Dev;14;demarrage projet
2025-10-31;ODGRhone;ProdouaneVendange;14,0;ProdouaneVendange
2025-10-31;ODGRhone;AdminSys;7;AdminSys
2025-10-31;ODGProvence;TMA;2;TMA
2025-10-31;ODGProvence;Sprint dev controle terrain;32;Controle
2025-10-31;ODGProvence;Réunion sprint controle terrain;2;Controle
2025-10-31;ODGProvence;ProdouaneVendange;10,5;ProdouaneVendange
2025-10-31;ODGProvence;Controle;7;Controle
2025-10-31;ODGProvence;Controle;14,0;Controle
2025-10-31;ODGProvence;Controle;10;Controle
2025-10-31;ODGProvence;AdminSys;7;AdminSys
2025-10-31;ODGNantes;TMA;1;TMA
2025-10-31;ODGNantes;DRInterloire;5,25;DRInterloire
2025-10-31;NathanMode;Sprint;20;TMA
2025-10-31;NathanMode;Devis;3,5;Linup
2025-10-31;NathanMode;AdminSys;3,5;AdminSys
2025-10-31;Juricaf;AdminSys;3,5;AdminSys
2025-10-31;IVSO;TMA;3,5;TMA
2025-10-31;IVBD;TMA;3,5;TMA
2025-10-31;IVBD;TMA;1;TMA
2025-10-31;IR;TMA;2,5;TMA
2025-10-31;IR;Assistance / Demande;7;TMA
2025-10-31;IGPSudOuest;Forfait;3,5;Forfait
2025-10-31;Gaillac;TMA;23;TMA
2025-10-31;Gaillac;Forfait;7;Forfait
2025-10-31;Gaillac;Forfait;3,5;Forfait
2025-10-31;DeclarVins;TMA;5;TMA
2025-10-31;DeclarVins;Réunion Aix;7;Deplacement
2025-10-31;CNIV;TMA;3,5;TMA
2025-10-31;CIVP;Assistance / Demande;3,5;TMA
2025-10-31;CIVA;TMA;4,5;TMA
2025-10-31;CIVA;TMA;10,5;TMA
2025-10-31;CIVA;Sprint import vrac;55,5;ImportContrat
2025-10-31;CIVA;ImportContrat;14,0;ImportContrat
2025-10-31;CIVA;Contrat;3;ImportContrat
2025-10-31;CentreLoire;TMA;2;TMA
2025-10-31;CentreLoire;ProdouaneVendange;14,0;ProdouaneVendange
2025-10-31;BIVC;TMA;3,5;TMA
2025-10-31;AVA;TMA;7,0;TMA
2025-10-31;AVA;TMA;3,5;TMA
2025-10-31;Aurouze;TMA;2,5;TMA
2025-10-31;Aurouze;TMA;1;TMA
2025-10-31;Aurouze;TMA;10,50;TMA
2025-10-31;ADM;TMA;3,5;TMA
2025-10-31;ADM;TMA;1;TMA
2025-09-30;VinsIGP;TMA;5;TMA
2025-09-30;VinsIGP;TMA;14;TMA
2025-09-30;VinsIGP;TMA;10,5;TMA
2025-09-30;VinsIGP;Assistance / Demande;1;TMA
2025-09-30;prodouane;APIsation de prodouane scrapy;14;Mutualisation
2025-09-30;Prodimmo;SignaturePDF + Metacompta;3,5;Prodimmo
2025-09-30;ORessource;ORessource;7,0;ORessource
2025-09-30;ORessource;Dev;35;demarrage projet
2025-09-30;ODGRhone;TMA;1,5;TMA
2025-09-30;ODGRhone;Calendrier + TMA OpenODG;3,5;TMA
2025-09-30;ODGRhone;Assistance / Demande;1;TMA
2025-09-30;ODGProvence;Visio controle;2;Controle
2025-09-30;ODGProvence;TMA;3,5;TMA
2025-09-30;NathanMode;Sprint;18;Linup
2025-09-30;NathanMode;Reunion;2,50;Linup
2025-09-30;NathanMode;Linup;14,0;Linup
2025-09-30;Juricaf;TMA Canada + integration + opti Robots IA + editorial;7;TMA
2025-09-30;IVSO;TMA + AdminSys;3,5;TMA
2025-09-30;IVSO;TMA;3,5;TMA
2025-09-30;IVSO;TMA;0,5;TMA
2025-09-30;IVSE;TMA;2;TMA
2025-09-30;IVSE;Assistance / Demande;1;TMA
2025-09-30;IVBD;TMA;0,5;TMA
2025-09-30;IR;TMA;2,5;TMA
2025-09-30;IR;Assistance / Demande;6;TMA
2025-09-30;IGPSudOuest;Forfait (mise en prod);10,5;Forfait
2025-09-30;Gaillac;TMA;2;Forfait
2025-09-30;Gaillac;TMA;12;Forfait
2025-09-30;Gaillac;Forfait;17,5;Forfait
2025-09-30;CIVP;TMA;3,5;TMA
2025-09-30;CIVP;Assistance / Demande;14;TMA
2025-09-30;CIVA;TMA;7,0;TMA
2025-09-30;CIVA;TMA;1,5;TMA
2025-09-30;CIVA;Sprint import vrac;17,5;ImportContrat
2025-09-30;CIVA;Sprint;17,5;ImportContrat
2025-09-30;CIVA;Reunion de sprint;2,5;ImportContrat
2025-09-30;CIVA;Reunion;2,50;ImportContrat
2025-09-30;CIVA;Contrat;14,0;ImportContrat
2025-09-30;CentreLoire;TMA;5,5;TMA
2025-09-30;CentreLoire;TMA;2;TMA
2025-09-30;AVA;TMA;1,5;TMA
2025-09-30;AVA;TMA;0,5;TMA
2025-09-30;Aurouze;TMA;3,5;TMA
2025-09-30;Aurouze;TMA;1;TMA
2025-09-30;Aurouze;TMA;0,5;TMA
2025-09-30;ASSVAS;TMA;3,5;TMA
2025-09-30;ASSVAS;TMA;3,5;TMA
2025-09-30;ADM;TMA;3;TMA
2025-08-31;VinsIGP;TMA;8;TMA
2025-08-31;VinsIGP;TMA;3,5;TMA
2025-08-31;Ventoux;TMA;2;TMA
2025-08-31;ODGProvence;Reconduction parcellaire;23;Non facturable
2025-08-31;NathanMode;Sprint;15;Linup
2025-08-31;Juricaf;TMP;14;TMA
2025-08-31;IVSO;TMA;1;TMA
2025-08-31;IVBD;TMA;3;TMA
2025-08-31;IR;Assistance / Demande;7;TMA
2025-08-31;Gaillac;TMA;3;TMA
2025-08-31;Gaillac;Forfait;21;Forfait
2025-08-31;Gaillac;Dev Sprint;34;Forfait
2025-08-31;CNIV;TMA;10,5;TMA
2025-08-31;CIVP;TMA;3;TMA
2025-08-31;CIVP;Export reserve;14;CravatePDF
2025-08-31;CIVP;Assistance / Demande;7;TMA
2025-08-31;CIVA;TMA;5;TMA
2025-08-31;CIVA;Assistance / Demande;1;TMA
2025-08-31;CentreLoire;TMA;3;TMA
2025-08-31;BIVC;TMA;7;TMA
2025-08-31;BIVC;TMA;3;TMA
2025-08-31;BIVC;TMA;0.5;TMA
2025-08-31;AVA;TMA;7;TMA
2025-08-31;Aurouze;TMA;5;TMA
2025-08-31;Aurouze;TMA;3;TMA
2025-08-31;ADM;Forfait Sprint 2;3,5;Forfait
2025-08-31;ADM;Dev Sprint;8;Forfait
2025-08-30;VinsIGP;TMA;10,5;TMA
2025-08-30;ODGRhone;TMA;1,5;TMA
2025-08-30;ODGProvence;TMA;3,5;TMANonFacture
2025-08-30;IVBD;TMA;1,5;TMA
2025-08-30;Aurouze;TMA;1,5;TMA
2025-07-31;VinsIGP;TMA;8,5;TMA
2025-07-31;VinsIGP;TMA;3,5;TMA
2025-07-31;VinsIGP;Assistance / Demande;3,5;TMA
2025-07-31;ODGProvence;TMA;3;TMA
2025-07-31;ODGProvence;Irrigation, Réunion, DR Relations, Manquant;10,5;SprintEvolution
2025-07-31;ODGProvence;Assistance / Demande;1;TMA
2025-07-31;NLNet;Watermark change color;2,0;Watermark
2025-07-31;NLNet;SignaturePDF Watermark;0,5;Watermark
2025-07-31;NLNet;SignaturePDF Toolbox;21;Toolbox
2025-07-31;NLNet;SignaturePDF Opti;4;Opti
2025-07-31;NLNet;SignaturePDF FactureX;3,5;FactureX
2025-07-31;NLNet;SignaturePDF Admin Deletion;7;DeletionLink
2025-07-31;NLNet;Generate a booklet;14;Booklet
2025-07-31;NLNet;Change and unify page format;10,5;Format
2025-07-31;NathanMode;Visios;3,5;Linup
2025-07-31;NathanMode;Sprint 2 : évolutions formulaire production;38,5;Linup
2025-07-31;NathanMode;Sprint;10,5;Linup
2025-07-31;NathanMode;Réunion;2;Linup
2025-07-31;NathanMode;Réunion;2,0;Linup
2025-07-31;Juricaf;TMP;3,5;TMA
2025-07-31;IVSO;TMA;3,5;TMA
2025-07-31;IVSE;Assistance / Demande;1;TMA
2025-07-31;IVBD;TMA;3,5;TMA
2025-07-31;IR;Assistance / Demande;7;TMA
2025-07-31;IGPSudOuest;Forfait - Sprint 1;28;Forfait
2025-07-31;IGPSudOuest;Fine tuning;14;Forfait
2025-07-31;IGPSudOuest;Dév et finetuning;21;Forfait
2025-07-31;Gaillac;Sprint;7;Forfait
2025-07-31;Gaillac;Reunion Sprint;2;Forfait
2025-07-31;Gaillac;Forfait;31,5;Forfait
2025-07-31;Gaillac;Fine tuning;14;Forfait
2025-07-31;Gaillac;Fine tuning;14;Forfait
2025-07-31;Gaillac;Dev Sprint;4;Forfait
2025-07-31;Gaillac;Dev;3,5;Forfait
2025-07-31;Gaillac;Dév;14;Forfait
2025-07-31;CNIV;TMA;3,5;TMA
2025-07-31;CIVP;TMA;3,5;TMA
2025-07-31;CIVP;Assistance / Demande;14;TMA
2025-07-31;CIVA;TMA;7;TMA
2025-07-31;CIVA;TMA;7,0;TMA
2025-07-31;CIVA;TMA;1;TMA
2025-07-31;CIVA;Assistance / Demande;3,5;TMA
2025-07-31;BIVC;TMA;3,5;TMA
2025-07-31;AVA;TMA;3,5;TMA
2025-07-31;AVA;TMA;2;TMA
2025-07-31;AVA;TMA;2,5;TMA
2025-07-31;Aurouze;Touraine technicien application;1;TMA
2025-07-31;Aurouze;TMA;1,5;TMA
2025-07-31;Aurouze;Sprint;9;Sprint
2025-07-31;Aurouze;Assistance / Demande;2;TMA
2025-07-31;ADM;Reunion Sprint;2;Forfait
2025-07-31;ADM;Forfait Sprint 2;10,5;Forfait
2025-07-31;ADM;Dev Sprint;12;Forfait
2025-06-30;VinsIGP;TMA;7;TMA
2025-06-30;VinsIGP;TMA;7,0;TMA
2025-06-30;VinsIGP;TMA;3,5;TMA
2025-06-30;Ventoux;TMA;3,5;TMA
2025-06-30;Ventoux;TMA;1;TMA
2025-06-30;ODGRhone;TMA;0,5;TMA
2025-06-30;ODGRhone;Admin sys;3,5;Hébergement
2025-06-30;ODGProvence;TMA;7;TMA
2025-06-30;ODGProvence;DAP, Irrigation, Potentiel;7,0;SprintEvolution
2025-06-30;NLNet;SignaturePDF Watermark;29;Forfait
2025-06-30;NLNet;SignaturePDF Retention Config;3,5;Forfait
2025-06-30;NLNet;SignaturePDF Multiline text;3,5;Forfait
2025-06-30;NLNet;SignaturePDF Metadata;7;Forfait
2025-06-30;NLNet;SignaturePDF Color;8;Forfait
2025-06-30;NLNet;SignaturePDF;7;Forfait
2025-06-30;NLNet;Couleur;1,5;Color
2025-06-30;NLNet;Caviardage;7,0;Redact
2025-06-30;NathanMode;Sprint 1 : instance Linup;38,5;Linup
2025-06-30;IVSO;TMA nutrivin;2;Nutrivin
2025-06-30;IVSO;TMA;1,5;TMA
2025-06-30;IVSE;Assistance / Demande;3,5;TMA
2025-06-30;IVBD;TMA;7,0;TMA
2025-06-30;IR;Assistance / Demande;21;TMA
2025-06-30;IGPSudOuest;TMA;10,5;Forfait
2025-06-30;IGPSudOuest;Reunion Sprint;2;Forfait
2025-06-30;IGPSudOuest;Forfait - Sprint 1;28;Forfait
2025-06-30;IGPSudOuest;Dev Sprint;16;Forfait
2025-06-30;Gaillac;Forfait;21;Forfait
2025-06-30;CNIV;TMA;3,5;TMA
2025-06-30;CIVP;TMA CravatePDF;2;CravatePDF
2025-06-30;CIVP;Assistance / Demande;14;TMA
2025-06-30;CIVA;TMA;10,5;TMA
2025-06-30;CentreLoire;TMA;0,5;TMA
2025-06-30;BIVC;TMA;2,5;TMA
2025-06-30;BIVC;TMA;2,5;TMA
2025-06-30;BIVC;TMA;1;TMA
2025-06-30;AVA;TMA;4;TMA
2025-06-30;AVA;TMA;3,5;TMA
2025-06-30;AVA;TMA;10,5;TMA
2025-06-30;Aurouze;TMA;7,0;TMA
2025-06-30;Aurouze;Sprint;8,5;Sprint
2025-06-30;Aurouze;Réunion;2,5;Sprint
2025-06-30;AMVM;TMA;3,5;TMA
2025-06-30;AMVM;TMA;2,5;TMA
2025-06-30;ADM;Sprint;14;Forfait
2025-06-30;ADM;Reunion Sprint;2;Forfait
2025-06-30;ADM;Dev Sprint;20;Forfait
2025-05-31;VinsIGP;TMA;3,5;TMA
2025-05-31;VinsIGP;TMA;13,5;TMA
2025-05-31;Ventoux;TMA;7,0;TMA
2025-05-31;Prodimmo;Mise à jour serveur Brigitte;7;Prodimmo
2025-05-31;ODGRhone;TMA;1,5;TMA
2025-05-31;ODGRhone;TMA;1,0;TMA
2025-05-31;ODGRhone;Admin sys;3,5;Hébergement
2025-05-31;ODGProvence;TMA;4;TMA
2025-05-31;ODGProvence;TMA;3,5;TMA
2025-05-31;ODGProvence;DAP, Habilitation par demande, Irrigations;7,0;SprintEvolution
2025-05-31;ODGNantes;TMA;2;TMA
2025-05-31;Nutrivin;TMA;3,5;TMA
2025-05-31;NLnet;Convertir en image;7,0;OpenImage
2025-05-31;NLnet;Conserver les liens d'un pdf dans organisation;10,5;OrganisationCleanPDF
2025-05-31;NLnet;Amélioration de la compression;3,5;Compression
2025-05-31;NathanMode;Réunions et devis;7;TMA
2025-05-31;NathanMode;Réunion évolution lineup;3,5;Linup
2025-05-31;Juricaf;TMA;3,5;TMA
2025-05-31;IVSO;TMA nutrivin;2,5;Nutrivin
2025-05-31;IVSO;TMA;1,0;TMA
2025-05-31;IVSE;Assistance / Demande;7;TMA
2025-05-31;IVBD;TMA;7,0;TMA
2025-05-31;IVBD;TMA;3,5;TMA
2025-05-31;IR;Visio;2;TMA
2025-05-31;IR;Assistance / Demande;14;TMA
2025-05-31;IGPSudOuest;TMA;3,5;Forfait
2025-05-31;IGPSudOuest;Forfait - Sprint 0;28;Forfait
2025-05-31;Gaillac;Forfait;3,5;Forfait
2025-05-31;Gaillac;Dev;21;Forfait
2025-05-31;CNIV;TMA;3,5;TMA
2025-05-31;CIVP;Assistance / Demande;10,5;TMA
2025-05-31;CIVA;TMA + Visio négociant;8,5;TMA
2025-05-31;CIVA;TMA;3,5;TMA
2025-05-31;CIVA;Réunion Négociant Contrat;2;TMA
2025-05-31;CentreLoire;TMA;5,5;TMA
2025-05-31;CentreLoire;TMA;2;TMA
2025-05-31;BIVC;TMA;3,5;TMA
2025-05-31;BIVC;TMA;3,5;TMA
2025-05-31;BIVC;TMA;3,5;TMA
2025-05-31;AVA;TMA;5;TMA
2025-05-31;AVA;TMA;17,5;TMA
2025-05-31;AVA;TMA;14;TMA
2025-05-31;AVA;Sprint;8,5;Sprint
2025-05-31;AVA;Réunion;2,0;Sprint
2025-05-31;Aurouze;TMA;7,0;TMA
2025-05-31;Aurouze;TMA;25;TMA
2025-05-31;Aurouze;Sprint;12;Sprint
2025-05-31;ADM;TMA - demande + preprod;3,5;TMA
2025-05-30;Gaillac;Dev Sprint;18;Forfait
2025-05-30;CentreLoire;TMA;2;TMA
2025-05-30;ADM;Reunion Sprint;3;SprintEvolution
2025-05-30;ADM;Dev Sprint;12;SprintEvolution
2025-04-30;VinsIGP;TMA;7;TMA
2025-04-30;VinsIGP;TMA;3,5;TMA
2025-04-30;VinsIGP;TMA;1;TMA
2025-04-30;Ventoux;TMA;7;TMA
2025-04-30;Ventoux;TMA;3,5;TMA
2025-04-30;ODGRhone;TMA Opti Charge serveur;7;TMA Export
2025-04-30;ODGRhone;Finalisation methode isDuplicate;3,5;TMA Contact
2025-04-30;ODGRhone;Documents de production;7;TMA DRev
2025-04-30;ODGRhone;Démo Potentiel + parcellaire;3,5;TMA Parcellaire
2025-04-30;ODGRhone;Compte;3,5;TMA Contact
2025-04-30;ODGProvence;TMA;0,5;TMA
2025-04-30;ODGProvence;Sprint - secteur;3,5;SprintEvolution
2025-04-30;ODGProvence;Sprint - potentiel de production;17,5;SprintEvolution
2025-04-30;ODGProvence;Sprint - Manquant, DAP Cave coop, Habilitation;14,0;SprintEvolution
2025-04-30;ODGNantes;TMA;3,5;TMA
2025-04-30;NathanMode;Assistance / Demande;2;TMA
2025-04-30;IVSO;Assistance / Demande;1;TMA
2025-04-30;IVSE;TMA;1;TMA
2025-04-30;IVSE;Import SV12;10,5;TMA
2025-04-30;IVSE;Evolutions contrat;14;SprintContrat
2025-04-30;IVBD;Modification des contrat d'achat;4;TMA
2025-04-30;IR;TMA;1;TMA
2025-04-30;IR;SV12 CdR;3,5;TMA
2025-04-30;IR;Assistance / Demande;14;TMA
2025-04-30;Gaillac;Reunion Sprint;2;Forfait
2025-04-30;Gaillac;Forfait;28;Forfait
2025-04-30;Gaillac;Dev Sprint;31;Forfait
2025-04-30;Gaillac;Dev;7;Forfait
2025-04-30;CIVP;TMA Cravate;2,5;TMA
2025-04-30;CIVP;TMA;1,5;TMA
2025-04-30;CIVP;Dev;10,5;CravatePDF
2025-04-30;CIVP;CravatePDF;2,0;CravatePDF
2025-04-30;CIVP;Assistance / Demande;7;TMA
2025-04-30;CIVA;TMA;3,5;TMA
2025-04-30;CIVA;TMA;1;TMA
2025-04-30;CIVA;Sprint évolutions des contrats;3,5;SprintEvolution
2025-04-30;CIVA;Réunion sprint vrac;2;SprintEvolution
2025-04-30;CIVA;Import Vrac;21,5;SprintEvolution
2025-04-30;CIVA;2 Réunions + Dev;10,5;SprintEvolution
2025-04-30;CentreLoire;TMA;3,5;TMA
2025-04-30;CentreLoire;TMA;0,5;TMA
2025-04-30;AVA;TMA;21;TMA
2025-04-30;AVA;TMA;10,5;TMA
2025-04-30;AVA;TMA;10,5;TMA
2025-04-30;AVA;Sprint;5,5;SprintEvolution
2025-04-30;AVA;Sprint;10,5;SprintEvolution
2025-04-30;AVA;Réunion;2,5;SprintEvolution
2025-04-30;Aurouze;TMA;7;TMA
2025-04-30;Aurouze;TMA;4;TMA
2025-04-30;Aurouze;TMA;0,5;TMA
2025-04-30;Aurouze;Sprint;19;Sprint
2025-04-30;Aurouze;Réunion;2,5;Sprint
2025-04-30;ADM;Réunion;2;TMA
2025-04-30;ADM;Habilitation à enseigner en ligne;0,5;TMA
2025-04-30;ADM;Amelioration de la detection des intrusions;1;TMA
2025-04-17;VinsIGP;TMA Dégustation Loire;1;TMA
2025-03-31;VinsIGP;TMA;7;TMA
2025-03-31;VinsIGP;TMA;5;TMA
2025-03-31;VinsIGP;TMA;3,5;TMA
2025-03-31;VinsIGP;TMA;1;TMA
2025-03-31;Ventoux;TMA;3;TMA
2025-03-31;ODGRhone;TMA DRev, VCI, Production, Adelphe;3,5;TMA DRev
2025-03-31;ODGRhone;ajout colonne duplicata dans l'export comptes;3,5;TMA Contact
2025-03-31;ODGProvence;TMA;1,5;TMA
2025-03-31;ODGProvence;Sprint - Réunion;3,5;SprintEvolution
2025-03-31;ODGProvence;Sprint - Potentiel;17,5;SprintEvolution
2025-03-31;ODGProvence;Sprint - CAP/CVP;10,5;SprintEvolution
2025-03-31;ODGNantes;TMA;3,5;TMA
2025-03-31;NathanMode;Assistance / Demande;7;TMA
2025-03-31;Juricaf;TMA;10,5;TMA
2025-03-31;Juricaf;Réunion+TMA;3,5;TMA
2025-03-31;IVSO;TMA;3,5;TMA
2025-03-31;IVSO;TMA;1;TMA
2025-03-31;IVSE;TMA;1;TMA
2025-03-31;IVSE;Assistance / Demande;3,5;TMA
2025-03-31;IVBD;Changement contrats vrac;10,5;TMA
2025-03-31;IR;TMA;7;TMA
2025-03-31;IR;TMA;1;TMA
2025-03-31;IR;Assistance / Demande;21;TMA
2025-03-31;Gaillac;TMA;10,5;Forfait
2025-03-31;CIVP;Sprint cravate pdf;31,5;CravatePDF
2025-03-31;CIVP;Dev;31,5;CravatePDF
2025-03-31;CIVP;CravatePDF;28,0;CravatePDF
2025-03-31;CIVP;Assistance / Demande;14;TMA
2025-03-31;CIVA;Vrac;3,5;SprintEvolution
2025-03-31;CIVA;TMA;3,5;TMA
2025-03-31;CIVA;TMA;3,5;TMA
2025-03-31;CIVA;TMA;3,5;TMA
2025-03-31;CIVA;Sprint évolutions des contrats;21;SprintEvolution
2025-03-31;CIVA;Réunion Vrac;2;SprintEvolution
2025-03-31;CIVA;Import Vrac;19;SprintEvolution
2025-03-31;CIVA;Ajout réserve interpro;5;TMA
2025-03-31;CentreLoire;TMA;3,5;TMA
2025-03-31;CentreLoire;TMA;3,5;TMA
2025-03-31;CentreLoire;TMA;3,5;TMA
2025-03-31;AVA;TMA;3,5;TMA
2025-03-31;AVA;Sprint;5;SprintEvolution
2025-03-31;AVA;Réunion;2,5;SprintEvolution
2025-03-31;AVA;Facturation 2025 et Réimport des registres VCI;31,5;TMA
2025-03-31;AVA;Dév Sprint;1;SprintEvolution
2025-03-31;Aurouze;TMA;5;TMA
2025-03-31;Aurouze;TMA;2;TMA
2025-03-31;Aurouze;Sprint;18;TMA
2025-03-31;Aurouze;Réunion;2,5;TMA
2025-03-31;AMVM;TMA;7;TMA
2025-03-31;ADM;TMA;7;ADM
2025-02-28;VinsIGP;TMA;3;TMA
2025-02-28;VinsIGP;TMA;3,5;TMA
2025-02-28;VinsIGP;TMA;1;TMA
2025-02-28;VinsIGP;TMA;14;TMA
2025-02-28;Ventoux;TMA;3,5;TMA
2025-02-28;Prodimmo;zeroinbox dans report24;10;Report24
2025-02-28;ODGRhone;Assistance / Demande;1;Adelphe
2025-02-28;ODGProvence;TMA;7,0;TMA
2025-02-28;ODGProvence;TMA;3,5;TMA
2025-02-28;ODGProvence;TMA;3,5;TMA
2025-02-28;ODGNantes;TMA;3,5;TMA
2025-02-28;NathanMode;Assistance / Demande;2,5;TMA
2025-02-28;Juricaf;TMA;3,5;TMA
2025-02-28;Juricaf;remplacement de la machine spare;8;AdminSys
2025-02-28;IVSO;TMA;8,5;NutriVin
2025-02-28;IVSO;TMA;4;TMA
2025-02-28;IVSO;TMA;0,5;TMA
2025-02-28;IVSE;Assistance / Demande;3,5;TMA
2025-02-28;IVBD;TMA;2,0;TMA
2025-02-28;IVBD;TMA;10,5;TMA
2025-02-28;IR;TMA + WineTracker;7;TMA
2025-02-28;IR;Assistance / Demande;14;TMA
2025-02-28;CNIV;TMA;3,5;TMA
2025-02-28;CIVP;TMA;1,0;TMA
2025-02-28;CIVP;Sprint cravate-pdf;28,5;CravatePDF
2025-02-28;CIVP;Réunion cravate;1;CravatePDF
2025-02-28;CIVP;Facturation SV12;35;SV12
2025-02-28;CIVP;Dev;28;CravatePDF
2025-02-28;CIVP;CravatePDF;14,0;CravatePDF
2025-02-28;CIVP;Assistance / Demande;7;TMA
2025-02-28;CIVA;TMA + Réserve;15;TMA
2025-02-28;CIVA;TMA;3,5;TMA
2025-02-28;CIVA;TMA;3,5;TMA
2025-02-28;CIVA;TMA;10;TMA
2025-02-28;CentreLoire;TMA;3,5;TMA
2025-02-28;CentreLoire;metabase;1;TMA
2025-02-28;BIVC;TMA;3,5;TMA
2025-02-28;AVA;TMA;3,5;TMA
2025-02-28;AVA;TMA;14;TMA
2025-02-28;Aurouze;TMA;3;TMA
2025-02-28;Aurouze;Sprint;29,5;TMA
2025-02-28;Aurouze;Réunion;3,5;TMA
2025-02-28;Aurouze;Réunion;2,5;TMA
2025-02-28;ASSVAS;TMA;7;TMA
2025-02-28;ADM;TMA;7;TMA
2025-02-28;ADM;TMA;4;TMA
2025-02-28;ADM;Sécurisation;7;TMA
2025-01-31;VinsIGP;TMA;3,5;TMA
2025-01-31;VinsIGP;TMA;3,5;TMA
2025-01-31;VinsIGP;TMA;10,5;TMA
2025-01-31;ODGRhone;TMA;1,5;TMA
2025-01-31;ODGRhone;TMA;10,5;TMA
2025-01-31;ODGRhone;Nouvelle campagne Adelphe;7;TMA
2025-01-31;ODGProvence;TMA;7;TMA
2025-01-31;ODGProvence;TMA;7,0;TMA
2025-01-31;ODGProvence;TMA;3,5;TMA
2025-01-31;ODGProvence;Sprint - Potentiel, CAP/CVP;7,0;SprintEvolution
