2020-01-03;CIVA;tma ;3,5;TMA
2020-01-03;IVSO;drm et 5 chiffres aprs virgule;1,5;TMA
2020-01-10;Aurouze;tma;2,5;TMA TueNet
2020-01-10;CIVA;tma ;1,5;TMA
2020-01-10;DeclarVins;Drm en probleme IR;3;TMA
2020-01-10;IVBD;tma;1;TMA
2020-01-10;IVSO;drm et ciel1;11;TMA
2020-01-10;OdgRhone;calcul stock vci;1,5;TMA
2020-01-10;Sancerre;Drm et editeur;2,5;TMA
2020-01-10;VINSI; tma;8;TMA
2020-01-10;VINSI;xml export innov;4;ODG
2020-01-14;IVSO;reunion;4,5;reunion
2020-01-17;Aurouze;tma;2;TMA TueNet
2020-01-17;CIVA;gestion des xml civa et douane;5;TMA
2020-01-17;CIVA;tma ;1,5;TMA
2020-01-17;DeclarVins;Drm a probleme;1,5;TMA
2020-01-17;IVBD;tma;1;TMA
2020-01-17;IVSO;drm et transmission;3,5;TMA
2020-01-17;OdgProvence;tma et facturation;7;TMA
2020-01-17;VINSI;tma classique;2;tma
2020-01-17;VINSI;xml export innov et test;4;ODG
2020-01-20;Aurouze;reunion;4,5;TMA
2020-01-24;Aurouze;ticket et amelioration;6;TMA
2020-01-24;OdgProvence;mise en prdo et template facturation;3,5;TMA
2020-01-24;VINSI;tma classique;2;tma
2020-01-24;VINSI;xml export innov par region au global;6,5;ODG
2020-01-27;Aurouze;probleme de contrat;2,5;TMA
2020-01-27;VINSI;xml export innov par region ;2,5;ODG
2020-01-28;VINSI;factures electronique;3,5;TMA
2020-01-29;Aurouze;tickets et cron;9;TMA
